Tuesday over 2K,,Tuesday 4-7 kohm,,Thursday 1-50 kohm,,Thursday 4-7,
83.010063,22.34520005,138.591965,0.067449839,55.611343,9.323415845,21.796343,0.000597388
83.156151,22.18939949,138.779022,0.067550398,55.875076,9.189958325,21.80526,0.000595851
83.320938,21.81043758,138.961533,0.0677157,56.161228,8.987260021,21.799723,0.000594747
83.482132,22.09694336,139.108215,0.067602117,56.450668,8.918074532,21.804342,0.000595924
83.651161,21.70577921,139.261032,0.067854131,56.703091,8.762523488,21.805559,0.000593846
83.797554,21.2997944,139.421219,0.067912946,56.956997,8.704379341,21.809559,0.000594083
83.948189,21.31372604,139.609299,0.067961346,57.206306,8.631886307,21.81142,0.000593603
84.106995,21.55813527,139.790344,0.067855595,57.470749,8.41923803,21.81234,0.000593319
84.267891,21.03243332,139.955765,0.068048328,57.673389,8.373173637,21.818203,0.000593504
84.42849,21.1293638,140.122757,0.068088222,57.846924,8.274756539,21.817877,0.000593008
84.584572,21.07343882,140.286392,0.068147339,57.992889,8.084634728,21.816662,0.000595022
84.749123,20.93471457,140.459213,0.068297068,58.153675,7.944341571,21.820959,0.000591937
84.915794,20.4778209,140.644623,0.068354502,58.335346,7.883164203,21.821579,0.000592458
85.088203,20.77054178,140.818405,0.068435474,58.542728,7.749334994,21.823418,0.000594139
85.250343,20.34654094,140.985474,0.068453968,58.757977,7.610349878,21.835115,0.000595166
85.400726,20.59561798,141.154678,0.068472559,58.958347,7.539699855,21.832657,0.00059448
85.567398,20.39787709,141.327896,0.068637465,59.195957,7.43184922,21.838816,0.000592031
85.722321,19.68041322,141.482407,0.068624528,59.423843,7.374994203,21.844355,0.000591468
85.881165,19.86389281,141.654434,0.068699225,59.653809,7.227839239,21.845274,0.000591041
86.045479,20.01322016,141.836563,0.068777774,59.861073,7.108288483,21.850513,0.000591343
86.206451,19.45177097,142.008301,0.068883142,60.028091,7.010642893,21.860672,0.000590506
86.368324,19.5226992,142.173599,0.068905092,60.199318,6.91971048,21.858809,0.000591193
86.546829,19.87515664,142.347504,0.068896771,60.364197,6.836647777,21.864967,0.000590736
86.70874,19.42730929,142.507034,0.068922397,60.529655,6.783901583,21.862211,0.000590502
86.872177,19.03267396,142.683731,0.069085733,60.690563,6.717462488,21.87299,0.00058574
87.060661,19.21573031,142.854645,0.069151926,60.85994,6.624452974,21.870508,0.00058453
87.223206,18.94193269,143.014801,0.069288212,61.053509,6.562431539,21.877586,0.00058576
87.392067,18.65354819,143.180801,0.06935526,61.237675,6.491073682,21.881609,0.000583968
87.570015,18.84046565,143.35173,0.069403375,61.413063,6.400246621,21.884987,0.000585016
87.729858,18.48015637,143.516815,0.069486094,61.591152,6.318257392,21.884987,0.000586209
87.898178,18.51192941,143.667221,0.069635775,61.77528,6.274000509,21.893282,0.000587462
88.056511,18.29943506,143.806549,0.069541916,61.948219,6.182029144,21.902521,0.000585943
88.231171,17.88858323,143.896194,0.069681285,62.120834,6.144002209,21.900684,0.000585896
