Tuesday over 2K,,Thursday 1-50 kohm,,Thursday 4-7,
86.368324,19.5226992,60.199318,17.57642786,21.858809,0.000591193
86.546829,19.87515664,60.364197,17.36544423,21.864967,0.000590736
86.70874,19.42730929,60.529655,17.23146613,21.862211,0.000590502
86.872177,19.03267396,60.690563,17.06270734,21.87299,0.00058574
87.060661,19.21573031,60.85994,16.8264583,21.870508,0.00058453
87.223206,18.94193269,61.053509,16.66892059,21.877586,0.00058576
87.392067,18.65354819,61.237675,16.48766789,21.881609,0.000583968
87.570015,18.84046565,61.413063,16.25696239,21.884987,0.000585016
87.729858,18.48015637,61.591152,16.04870544,21.884987,0.000586209
87.898178,18.51192941,61.77528,15.93629064,21.893282,0.000587462
88.056511,18.29943506,61.948219,15.70267854,21.902521,0.000585943
88.231171,17.88858323,62.120834,15.60608813,21.900684,0.000585896
88.403725,17.75877718,62.292526,15.5296015,21.905602,0.000586443
88.580208,17.99873811,62.454235,15.38119228,21.910219,0.000581866
88.758224,17.7385023,62.619579,15.2003476,21.915461,0.000585335
88.928398,17.91749266,62.797596,15.01908301,21.920998,0.000585962
89.097351,17.24856864,62.988285,14.84169603,21.924698,0.000585252
89.264503,17.17381906,63.207397,14.63342371,21.931454,0.000586371
89.436226,17.20165015,63.399578,14.61799426,21.935774,0.000583688
89.595238,16.8291901,63.586624,14.39462192,21.938854,0.000584289
89.764824,17.28477474,63.77787,14.1091584,21.942232,0.000582778
89.941093,16.7752959,63.957336,14.0155208,21.949013,0.000585348
90.122505,16.67844491,64.141319,13.78849809,21.959169,0.000585989
90.290634,16.57444736,64.331039,13.78455918,21.965624,0.000588006
90.466621,16.4459494,64.52919,13.7254372,21.969923,0.000590749
90.637199,16.28587676,64.712227,13.50567736,21.973921,0.000588726
90.817131,16.34421486,64.890732,13.41115912,21.97916,0.000588145
90.98983,15.99945557,65.069542,13.2772171,21.9844,0.000585955
91.163452,16.25193199,65.242294,13.19923633,21.991776,0.000588254
