Temperature,Conductivity,Temperature,Conductivity,Temperature,Conductivity
86.206451,0.051409201,60.199318,0.144490506,21.858809,0.184715613
86.368324,0.051222425,60.364197,0.146246011,21.864967,0.184858277
86.546829,0.050314069,60.529655,0.147383103,21.862211,0.184931711
86.70874,0.051473932,60.690563,0.148840797,21.87299,0.186435124
86.872177,0.052541225,60.85994,0.150930571,21.870508,0.18682108
87.060661,0.052040697,61.053509,0.152357013,21.877586,0.186428799
87.223206,0.052792923,61.237675,0.154031909,21.881609,0.187000883
87.392067,0.053609104,61.413063,0.156217803,21.884987,0.186665873
87.570015,0.053077244,61.591152,0.158244973,21.884987,0.186286081
87.729858,0.054112096,61.77528,0.159361235,21.893282,0.185888578
87.898178,0.054019221,61.948219,0.161732086,21.902521,0.186370584
88.056511,0.054646496,62.120834,0.162733091,21.900684,0.186385495
88.231171,0.055901576,62.292526,0.163534586,21.905602,0.186211697
88.403725,0.056310183,62.454235,0.16511249,21.910219,0.187676304
88.580208,0.055559451,62.619579,0.1670769,21.915461,0.186563989
88.758224,0.056374545,62.797596,0.169093343,21.920998,0.18636445
88.928398,0.05581138,62.988285,0.171114335,21.924698,0.186590565
89.097351,0.057975825,63.207397,0.173549745,21.931454,0.186234412
89.264503,0.058228167,63.399578,0.173732929,21.935774,0.187090624
89.436226,0.058133958,63.586624,0.176428875,21.938854,0.186898157
89.595238,0.059420566,63.77787,0.179998472,21.942232,0.187382745
89.764824,0.057854384,63.957336,0.18120104,21.949013,0.186560024
89.941093,0.059611467,64.141319,0.184184451,21.959169,0.18635577
90.122505,0.059957628,64.331039,0.184237081,21.965624,0.185716768
90.290634,0.060333837,64.52919,0.185030678,21.969923,0.184854412
90.466621,0.060805246,64.712227,0.188041435,21.973921,0.185489547
90.637199,0.061402896,64.890732,0.189366701,21.97916,0.185672823
90.817131,0.061183728,65.069542,0.191277053,21.9844,0.186366766
90.98983,0.062502127,65.242294,0.192407113,21.991776,0.185638387
91.163452,0.061531146,65.381798,0.19622021,22.000095,0.185376337
91.343735,0.063226086,65.533714,0.197332859,22.004391,0.184946846
91.514633,0.062442722,65.688019,0.19990879,22.01363,0.185278589
91.690086,0.064545453,65.844421,0.20247944,22.019789,0.185532698
91.862862,0.063668357,66.032852,0.204462017,22.025028,0.185749367
92.046196,0.064516492,66.24691,0.208039882,22.023165,0.185424354
92.223816,0.065144399,66.437126,0.209844478,22.036724,0.185327427
92.405968,0.065428292,66.595032,0.212046576,22.041344,0.185095918
92.586639,0.065993705,66.76046,0.214012523,22.050556,0.185635849
92.771233,0.066057572,66.963638,0.215127167,22.058577,0.186264719
92.946777,0.067596322,67.129967,0.217680723,22.069328,0.185752329
93.131409,0.067503749,67.285713,0.220345867,22.071489,0.186387299
93.317589,0.067442595,67.433617,0.221899895,22.092422,0.185038133
93.489838,0.068164454,67.59964,0.224797687,22.085644,0.184974598
93.677528,0.068259547,67.769569,0.226993018,22.101957,0.18483569
93.862816,0.068292124,67.947945,0.227213522,22.108114,0.184952463
94.044174,0.06873234,68.097023,0.229646926,22.121027,0.185761315
94.22525,0.070710804,68.246414,0.231693995,22.12351,0.185584105
94.407249,0.070116359,68.395805,0.234500301,22.133667,0.18553257
94.595619,0.070650666,68.52256,0.236608175,22.144741,0.185890542
94.772194,0.07102849,68.663795,0.238620928,22.155815,0.185521386
94.947868,0.072284911,68.79113,0.23980745,22.162594,0.185033991
95.129326,0.072473925,68.942612,0.241273818,22.168428,0.185115687
95.31321,0.073478709,69.089264,0.243302191,22.183823,0.185139341
95.498001,0.073888003,69.242256,0.247287285,22.192734,0.184208513
95.69252,0.073764194,69.417572,0.248510221,22.199814,0.184355048
95.873726,0.074454932,69.556351,0.251489934,22.212425,0.184525562
96.054619,0.074362213,69.699989,0.253724907,22.22752,0.184364405
96.23584,0.075493696,69.83033,0.255540019,22.244131,0.184159624
96.43589,0.076216127,69.951004,0.259527713,22.253368,0.184294056
96.629555,0.076500426,70.081055,0.260883105,22.269058,0.184539576
96.809929,0.078854978,70.213181,0.26262857,22.286585,0.186008513
96.996666,0.077256985,70.348969,0.265553069,22.309351,0.18593203
97.178253,0.078137219,70.478699,0.267381344,22.323206,0.18482908
97.369591,0.078420515,70.61837,0.269733904,22.345053,0.184701715
97.558479,0.080023032,70.761665,0.270201859,22.364119,0.18416744
97.748009,0.080463856,70.884438,0.272664944,22.385046,0.184217419
97.940918,0.080182514,71.016281,0.274608655,22.399195,0.18455652
